H2,CO,C2H4,C2H6,CH4,C2H2,CO2,H2O,TDCG,Rogers Ratios,Duval’s Triangle,Japan ETRA diagram,Transformer condition,Warning gases,Fault
8,9,3124,6,13,123,0.5,12,162,No diagnosis available,Thermal fault 300°C-700°C,Discharges + overheating,Warning,"(CO?), (C?H?)",DP
36,9,2678,50,34,87,0.5,79,286,No diagnosis available,Thermal fault,Discharges + overheating,Warning,"(C?H?), (CO?)",DP
104.3641576,835.1447746,79.12950828,62.94381403,21.78029439,4.792432584,1346.02324,0.718566724,161.589246,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,CO? & CO,Thermal
22.98349305,156.5864517,53.31663981,287.7727917,100.5388439,0.154916053,7325.443274,25.89756181,1051.775293,-,PD,-,Warning,-,Electrical
79.99380227,1459.168956,19.41959036,290.2957528,108.6931473,0.479610674,7520.371841,31.30337784,758.00769,-,PD,-,Warning,CO? & CO,Thermal
63.50249926,66.65213488,94.69727254,317.7414507,142.9222907,3.912274988,2980.297109,49.44285498,182.7304448,-,-,No diagnosis available,Warning,CO? & CO,Electrical
104.7885583,1174.703478,17.2890288,259.1201358,15.31786739,1.745487543,9450.325236,19.02440524,6.741480967,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Arcing
26.96414906,31.86685106,73.33368121,15.35001971,48.03540336,3.779350633,8680.759282,38.73211038,837.5336971,-,Thermal fault,No diagnosis available,Warning,C?H?,PD
133.0619718,1047.333105,80.03911775,13.50165945,16.80971983,3.885951045,5539.179069,29.04853104,1341.706226,-,Thermal fault,No diagnosis available,Warning,Ethane & Carbon Dioxide,Overheating
149.0491216,1209.861106,33.4430431,251.8406263,19.59542408,3.726079803,4054.213973,41.02342188,651.2686325,-,Thermal fault,Thermal fault LOW temperature,Warning,CO? & CO,PD
55.29629766,1471.438326,92.85365084,389.309745,87.74967235,2.226108317,10954.18352,27.18037104,616.1800201,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,Thermal
48.88967076,1180.282429,46.56900917,297.6541226,8.237144107,1.007765591,6017.04961,11.45678938,751.3661707,-,Thermal fault,-,Warning,-,PD
23.21913958,517.7510296,40.5126388,2.560952985,81.3002007,0.102083164,10657.81837,16.25711697,330.4328106,-,PD,No diagnosis available,Warning,CO,Overheating
125.3033727,177.2845273,79.76416752,211.9477692,129.9015613,4.399268821,3795.14796,46.27773491,517.6116109,-,Electrical and thermal fault,No diagnosis available,Warning,CO? & CO,Thermal
39.2049025,510.3836865,19.99586484,368.2253655,19.88476394,2.146631218,4461.466268,34.38336601,1044.786136,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,CO? & CO,Thermal
25.1285862,774.2026037,53.46088243,274.4864249,47.67738265,0.267706098,6292.634886,22.80796043,416.229162,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,CO? & CO,PD
78.90619771,418.5468781,41.09601787,378.4490562,25.88654114,2.708664387,9426.176565,45.00909568,356.4522622,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,CO,Thermal
95.72149437,252.6032416,23.00653054,26.1229798,17.97678738,4.290221142,107.0098589,35.33411993,103.7899486,-,-,-,Warning,Carbon Dioxide (CO?),Overheating
82.70917769,936.4134837,39.0314747,330.9075228,141.7415841,0.980037237,3269.713534,30.76294186,887.1921912,-,Thermal fault,Thermal fault LOW temperature,Warning,-,Overheating
75.97766897,218.5449176,19.54472714,32.58266646,126.9372278,4.516026661,6399.871568,33.26697792,1263.554001,-,PD,Thermal fault LOW temperature,Warning,CO,Electrical
49.81462075,1059.266608,14.67230936,47.44175683,4.407796596,1.609139577,9939.755844,44.97457398,659.4567992,-,Thermal fault,-,Warning,Carbon Dioxide (CO?),Overheating
118.0676407,1011.160302,51.15083434,366.959037,120.6088839,1.048270331,719.7464199,39.44256173,530.0291799,-,PD,-,Warning,CO,Electrical
35.14078042,1182.238287,36.69933309,243.6041708,126.2090098,1.83318604,8447.430722,45.26577329,1156.951863,-,-,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),PD
123.3522384,540.4762453,8.651255749,187.3477422,134.0613046,4.665140476,7613.965448,1.238593239,48.44420688,-,Electrical and thermal fault,-,Warning,Ethane & Carbon Dioxide,Overheating
108.7542654,736.100142,59.71497546,154.6235203,149.6956722,3.917223518,7324.988727,10.69245597,1129.904646,-,Thermal fault,No diagnosis available,Warning,Ethane & Carbon Dioxide,Arcing
132.1580289,1171.020324,76.70920284,115.5325854,132.8093686,2.130344809,10973.06213,48.86555612,677.6235744,-,PD,Discharges + overheating,Warning,C?H?,Thermal
123.1111398,913.1463227,53.28579424,223.5769889,55.21065289,4.515808175,462.3165791,38.17180497,1360.013432,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Ethane & Carbon Dioxide,Electrical
38.30520067,732.9835647,50.68156532,20.58729977,52.57783573,0.799648808,9017.773282,8.821228841,722.6819743,-,-,-,Warning,Ethane & Carbon Dioxide,PD
56.70429349,291.1205926,77.74406313,394.8888676,14.8550839,0.882404605,10132.03126,33.25604732,671.4974046,-,PD,Discharges + overheating,Warning,Ethane & Carbon Dioxide,PD
88.07453821,820.7654318,73.8691879,306.3863499,38.92690907,4.796498353,7113.358822,14.13669949,368.8188438,-,-,Discharges + overheating,Warning,CO,Arcing
105.2289234,691.5194409,44.46668898,182.3895632,129.3069187,2.23025024,3391.916396,46.05966254,416.2022728,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,Carbon Dioxide (CO?),PD
18.11414608,147.7732013,41.09922279,325.3015178,31.76577153,3.67183182,1099.763085,30.81219821,849.7711302,-,Thermal fault,No diagnosis available,Warning,CO,Overheating
128.6726434,796.5797446,8.513064557,338.3564304,8.605725141,0.858397262,2139.055524,23.25628503,1002.204802,-,Thermal fault,No diagnosis available,Warning,C?H?,Arcing
120.8761526,623.9875255,83.82681778,381.5300759,67.99272116,2.797372286,1285.162295,44.93472069,1049.161522,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,Arcing
86.12246847,301.3463966,57.83998159,50.82224631,112.4642388,2.807425903,8954.635097,48.44882771,1482.84148,-,PD,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Electrical
42.34964973,328.6327345,93.9699082,327.286949,104.8596185,4.609620034,2947.372337,9.693200382,534.4816307,-,Thermal fault,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Electrical
130.0280792,989.897573,49.13951387,70.10980073,76.27665884,4.338321971,5910.220708,37.49000448,570.9956711,-,Thermal fault,-,Warning,Carbon Dioxide (CO?),PD
82.87171964,40.11042766,14.09624899,46.01662514,42.1426786,1.001528349,8972.512411,49.50008387,1399.258266,-,Thermal fault,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,Electrical
126.1236479,872.448062,28.80997829,1.836129665,51.20452988,1.229961477,9415.255515,12.02292767,991.3802541,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,-,PD
60.93703687,445.7243145,43.89064323,306.6483844,141.7317478,2.574240332,9930.573199,35.0377322,230.1372642,-,-,Discharges + overheating,Warning,Ethane & Carbon Dioxide,Overheating
68.25222304,941.1437002,18.46163415,54.4413012,67.05014838,1.871337487,4187.108764,30.93180683,63.01357895,-,Electrical and thermal fault,-,Warning,Ethane & Carbon Dioxide,Arcing
3.183222516,912.7800158,63.53004751,344.413497,31.56209298,1.212265485,2514.940147,2.289763448,485.6791527,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,-,Thermal
20.23263907,1129.090034,12.71180298,351.5393575,93.75302131,3.877567655,3387.345593,33.86214404,780.2377752,-,PD,-,Warning,C?H?,Electrical
53.44710586,198.2764576,17.2678662,304.244016,38.47681513,0.198054767,5883.966635,16.45172082,637.0058418,-,Electrical and thermal fault,-,Warning,-,PD
82.70263924,1052.971067,13.71506348,385.0692352,23.72345497,3.817513933,2928.935407,49.46538229,209.9583918,-,Electrical and thermal fault,Thermal fault LOW temperature,Warning,CO? & CO,Thermal
47.39769481,461.803388,49.52126892,25.58628205,139.5644189,2.953971402,6492.98786,0.966382733,1398.221268,-,-,-,Warning,CO? & CO,Thermal
100.2533599,370.6427443,96.12653275,288.908859,114.6412887,4.846498203,6746.148592,9.472140673,1040.953614,-,PD,No diagnosis available,Warning,Ethane & Carbon Dioxide,PD
129.070926,1201.391114,90.67757718,36.41477315,88.80272861,2.494026281,155.9770672,29.1053915,819.4509588,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,PD
120.2732791,1102.970184,31.92880855,254.6207309,46.92465031,4.579839541,137.1727979,49.3608834,1252.111981,-,-,No diagnosis available,Warning,Carbon Dioxide (CO?),PD
24.72571822,361.836758,20.14889788,353.6844075,130.7529595,4.570722992,10286.67652,23.93515392,1370.335117,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,C?H?,Overheating
106.1522375,831.7552772,45.60302219,368.2211269,16.80298857,2.614517616,10301.1769,5.337365493,1072.574342,-,-,Thermal fault LOW temperature,Warning,CO,Thermal
74.4916509,372.4337658,90.64622033,97.45915796,30.63796879,2.56855479,411.2549682,44.18650599,5.359595566,-,Thermal fault,Thermal fault LOW temperature,Warning,CO? & CO,Electrical
54.90770469,246.6997435,21.6333347,190.8824012,126.2397397,3.964885382,1435.333457,3.462976837,567.6235501,-,Electrical and thermal fault,Discharges + overheating,Warning,-,Thermal
8.609855234,1265.97091,19.60685445,354.7943213,5.020161361,0.377388871,4459.344572,3.74569125,1251.30812,-,Thermal fault,Thermal fault LOW temperature,Warning,C?H?,Thermal
58.67271994,1496.097957,98.58753427,154.1762229,13.34800959,0.72747138,1310.19738,13.62267575,1220.641754,-,Electrical and thermal fault,No diagnosis available,Warning,Ethane & Carbon Dioxide,Electrical
7.64186153,1220.972634,31.50172943,209.7500605,80.80856179,2.643945066,341.1632254,46.15021021,240.3101624,-,Electrical and thermal fault,No diagnosis available,Warning,Ethane & Carbon Dioxide,Thermal
21.32888244,1179.724641,4.170450575,49.72148009,120.7248302,1.410391022,2374.209036,19.85805316,346.5464384,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,CO? & CO,Arcing
44.77419883,1150.434371,17.64137512,133.581488,79.48858352,1.268846652,539.2505262,37.2075269,396.8548488,-,Thermal fault,-,Warning,Carbon Dioxide (CO?),Arcing
93.14740439,574.4570988,66.71424515,198.0343372,121.8607878,2.177232139,4823.895938,27.30035027,497.1524371,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,CO,Electrical
145.4707105,598.2751701,35.70178346,143.541566,21.70459166,1.750198462,4085.072445,5.182518412,81.07033737,-,PD,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Arcing
34.58872379,196.9391897,7.542412199,26.42092993,87.05589835,2.179296934,6943.347049,48.08700155,68.42611755,-,PD,-,Warning,CO,Overheating
138.9440151,113.6250756,95.8319059,188.0907599,92.10329689,0.722588794,7474.410973,4.310696538,615.7296849,-,Thermal fault,Discharges + overheating,Warning,Carbon Dioxide (CO?),Overheating
130.1759409,1096.853618,85.16609355,306.9135417,69.66560633,1.72969511,6432.833502,5.642571281,429.9323692,-,Electrical and thermal fault,Discharges + overheating,Warning,Carbon Dioxide (CO?),Electrical
112.6871569,279.8800843,0.4381368,299.3131142,139.5244808,2.250492071,10500.75345,37.28180014,501.9535485,-,Thermal fault,No diagnosis available,Warning,Ethane & Carbon Dioxide,Arcing
65.13618053,1275.103876,92.53779748,36.5671536,33.57174128,2.611962594,4178.103864,11.91093481,37.66577793,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Carbon Dioxide (CO?),Overheating
64.53448544,856.310148,44.65638324,301.1594818,131.8824274,2.561650532,6452.934286,20.47740302,525.5951451,-,Electrical and thermal fault,-,Warning,C?H?,Overheating
25.50525377,297.3515069,14.03604008,147.8450678,67.8696705,4.045191525,9216.422047,39.52098176,2.164007553,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Ethane & Carbon Dioxide,PD
57.19229732,691.9970464,77.53733839,88.75922687,82.80782005,2.213554773,8531.861972,26.30865221,405.1703939,-,-,Discharges + overheating,Warning,-,Overheating
106.2686772,1212.99668,15.34839874,375.7823049,99.69158656,3.564997533,8654.641152,6.557128943,896.5225072,-,Thermal fault 300°C-700°C,-,Warning,Ethane & Carbon Dioxide,Overheating
25.39992381,1172.870255,19.35505942,120.6895816,121.8498205,4.280035385,9459.834361,15.07584248,304.1126887,-,-,Discharges + overheating,Warning,C?H?,Electrical
61.85509629,1422.512664,69.96553873,373.190468,52.45037442,4.789216416,650.9029482,4.118578625,567.0568384,-,PD,Thermal fault LOW temperature,Warning,-,PD
100.9530848,526.9052674,73.37860886,47.54249287,89.95991307,0.206794607,6625.324513,34.87049002,567.3462173,-,PD,-,Warning,CO,Thermal
116.5164629,240.1692535,76.45449547,43.71173141,75.33393231,2.657473813,248.6077952,35.05477543,1257.528529,-,-,No diagnosis available,Warning,Ethane & Carbon Dioxide,Overheating
94.45972541,1490.673569,89.96983463,80.3477708,59.6794968,0.028637532,2278.971027,32.16365062,557.3189903,-,Thermal fault,No diagnosis available,Warning,Carbon Dioxide (CO?),Overheating
6.753641947,198.831572,17.48246246,363.1661289,7.817318279,1.485432061,10097.09882,9.388787731,135.0991937,-,PD,-,Warning,Carbon Dioxide (CO?),Overheating
100.0571487,786.9565336,38.1827232,376.4442878,14.69151239,0.534263296,2985.523921,20.04907401,1383.871689,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,CO,Overheating
111.1653925,1103.051715,86.03755297,3.603791678,100.1469105,3.101237966,6141.440697,25.67156611,85.38177324,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Ethane & Carbon Dioxide,Thermal
92.13517703,1225.757024,22.01432568,391.3027624,21.89362538,2.272828278,7835.358293,23.51996161,1182.686431,-,Electrical and thermal fault,Discharges + overheating,Warning,Carbon Dioxide (CO?),Arcing
33.0798771,1185.532911,68.03267997,66.76058072,131.8257852,1.125655192,1362.327528,8.2678251,529.0630888,-,Thermal fault,Thermal fault LOW temperature,Warning,C?H?,PD
48.87615446,262.8216271,22.89340413,184.6478611,79.9853397,2.244211649,8713.999429,19.48332948,1187.706216,-,PD,Thermal fault LOW temperature,Warning,CO? & CO,Overheating
130.3945724,121.7265979,68.6814385,219.1246359,1.70632162,3.658577017,8272.022454,42.96587224,1354.548184,-,-,-,Warning,-,Electrical
87.06855393,471.081422,13.92427758,147.5751973,96.6921068,1.50060852,3565.670329,5.629584179,867.9019069,-,Thermal fault,Thermal fault LOW temperature,Warning,CO? & CO,PD
123.927756,961.4424637,88.47319937,139.7511274,34.46374488,3.988611185,2960.579582,33.13371994,1400.773635,-,Electrical and thermal fault,No diagnosis available,Warning,C?H?,Overheating
90.4726753,1232.84689,63.84101281,87.3410246,32.7102749,1.708547545,2906.862258,26.01577659,177.06995,-,-,Discharges + overheating,Warning,CO? & CO,Arcing
49.68019593,879.9745783,41.58624686,275.0584117,103.357993,3.267483362,7147.876349,17.37419115,1287.684665,-,PD,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Arcing
86.59504732,346.5715,56.07480462,363.2249173,57.47483434,0.236810371,2453.976292,24.55475617,1347.03492,-,Thermal fault 300°C-700°C,No diagnosis available,Warning,Carbon Dioxide (CO?),Electrical
128.1362841,659.7384777,31.02370059,340.8740009,83.17839667,1.979169506,4169.399053,49.61718292,1008.370908,-,PD,Discharges + overheating,Warning,Ethane & Carbon Dioxide,PD
148.4230366,91.61371044,25.92327972,189.3535684,32.52531027,3.622378784,8713.291027,30.50155745,1308.876182,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Electrical
35.0423803,860.5596411,58.83186723,322.2611089,91.4998309,1.947371688,5912.141896,23.68296199,563.8654827,-,Electrical and thermal fault,No diagnosis available,Warning,Ethane & Carbon Dioxide,Arcing
6.062689805,508.8276491,9.198484568,393.8838248,83.97876532,1.191661055,7332.948608,24.27332407,577.1539828,-,PD,Discharges + overheating,Warning,-,Electrical
128.7641793,12.43667302,56.92630425,113.3196044,111.7940725,4.739065971,9766.351455,47.65610834,624.965047,-,PD,Thermal fault LOW temperature,Warning,CO? & CO,Arcing
129.1818962,356.4586282,89.20451555,8.116297858,12.03501209,3.942181853,6835.331354,35.12026479,164.7640714,-,-,-,Warning,-,Overheating
59.23902546,95.51466774,58.94352486,295.0829763,37.3677474,0.356028686,6627.2615,7.731028725,1115.741442,-,Electrical and thermal fault,No diagnosis available,Warning,C?H?,Thermal
101.7774519,566.5496576,29.73607618,148.3332495,74.39095068,1.399629945,8970.177767,21.74505232,348.3944334,-,Thermal fault 300°C-700°C,-,Warning,Carbon Dioxide (CO?),Arcing
118.0662807,1100.357242,75.23051976,321.8894347,58.46934845,3.236851028,10893.08032,17.21614396,212.0296595,-,Thermal fault,Thermal fault LOW temperature,Warning,-,Electrical
51.94376458,966.4375727,57.07334192,28.99586777,118.5533165,3.478354593,8535.394354,35.15631506,927.0458306,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,CO? & CO,Thermal
112.3846684,702.1381205,97.20307942,378.1314079,120.5167355,0.172647788,5407.087513,18.82972426,48.29518233,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,CO,Thermal
61.97914599,1027.132221,36.65841177,200.4720769,25.48230209,2.765615325,6802.539555,29.94257491,206.3352447,-,Electrical and thermal fault,-,Warning,-,Overheating
52.01179465,1024.055216,66.78125052,289.3171421,55.57769196,1.947067123,3628.23228,5.258628627,1317.894586,-,Electrical and thermal fault,No diagnosis available,Warning,CO? & CO,Overheating
95.12846715,697.4957039,27.48026696,99.21659352,57.34144816,4.41064452,1775.707252,38.44023374,89.87434937,-,Electrical and thermal fault,-,Warning,-,Thermal
75.76309171,639.6704232,23.43330904,132.5815784,93.91182387,2.654401513,1198.52756,31.22042996,903.2537501,-,Electrical and thermal fault,Discharges + overheating,Warning,-,Electrical
58.31583337,4.30386381,29.94003236,193.7899491,72.21326214,1.375504906,8564.698366,35.44857073,295.2818504,-,Thermal fault,Thermal fault LOW temperature,Warning,-,Arcing
137.2766598,309.0038037,86.11978964,334.6980818,75.36725016,4.082676562,1071.61962,29.56429331,1373.856029,-,Thermal fault 300°C-700°C,-,Warning,CO? & CO,Thermal
77.49483273,131.2830228,18.60393215,138.3578755,9.509516357,4.826565365,9660.743671,7.269700306,1028.179865,-,Thermal fault,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Electrical
114.7502548,302.0846581,43.95432778,292.5147758,26.92165598,1.431860705,8938.619008,25.39167203,1364.252619,-,-,-,Warning,CO? & CO,Thermal
12.79134573,1485.695611,83.16789338,97.3398182,135.095605,0.099027845,7852.401225,39.38293945,378.2076287,-,Electrical and thermal fault,Discharges + overheating,Warning,CO? & CO,Thermal
147.4682889,1472.35059,85.5580737,274.5556918,47.12973132,0.325213961,2080.613122,34.30638556,210.6802669,-,PD,No diagnosis available,Warning,CO? & CO,Overheating
120.7261014,1189.045857,60.70739829,76.26454849,106.3289179,2.82896513,10852.86071,19.7035793,870.7186094,-,-,Thermal fault LOW temperature,Warning,-,PD
135.4508688,362.668016,31.53871298,154.4429955,36.91905218,3.344511124,4256.325889,43.18796602,269.4586724,-,Electrical and thermal fault,Discharges + overheating,Warning,CO,Overheating
35.04277136,1002.095907,96.46462989,189.9947063,43.37234782,0.562582767,115.3308049,26.25731246,1003.725415,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,Ethane & Carbon Dioxide,Overheating
108.7311057,341.4290124,45.7165272,303.5566918,2.60673579,4.198654209,10582.39792,35.31099036,817.0758806,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,Carbon Dioxide (CO?),Electrical
43.86781793,764.8560834,50.37841364,349.0752329,14.77200151,0.60081737,7434.490365,5.717132721,199.0197025,-,Thermal fault 300°C-700°C,Thermal fault LOW temperature,Warning,C?H?,PD
135.9988768,1010.61034,6.063340618,147.1683414,69.7891367,3.308111989,2807.488588,15.09222524,226.1838677,-,Electrical and thermal fault,Thermal fault LOW temperature,Warning,CO? & CO,Thermal
106.3736362,156.135959,6.681648511,340.3583325,18.17236299,4.288723666,4738.810194,19.83316473,1393.575285,-,PD,Thermal fault LOW temperature,Warning,Carbon Dioxide (CO?),Thermal
37.69939765,667.8265163,64.58681605,146.3655503,37.19438281,1.045225026,6484.169829,29.79902847,875.6028105,-,-,Discharges + overheating,Warning,-,Electrical
123.4160384,1323.713074,68.56096031,293.933508,19.90786719,1.510694404,869.8091714,28.98779749,835.2861697,-,Thermal fault,Thermal fault LOW temperature,Warning,CO? & CO,Electrical
55.76447912,17.33585332,47.02134002,212.3044384,27.68892024,1.944405807,8392.322547,49.7984885,282.227648,-,-,Discharges + overheating,Warning,CO? & CO,Electrical
127.7037606,1450.291571,66.77676223,219.8803073,90.66342789,1.549311926,10789.00277,37.42661512,1326.78149,-,Electrical and thermal fault,No diagnosis available,Warning,-,Electrical
24.46800103,550.8523775,79.64386141,360.0948321,132.6814229,2.310384777,9262.471351,24.8535327,708.1214485,-,-,Discharges + overheating,Warning,CO,PD
19.1024208,489.7172847,81.31096133,44.48973413,134.9836046,0.887249309,7140.483935,0.647626038,19.2375325,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,C?H?,Arcing
23.63521158,1318.06779,76.79409797,178.786202,9.300460189,2.534213275,6720.746694,16.04389824,789.9427739,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,C?H?,Overheating
92.8766052,1440.106091,76.96148287,169.7946213,50.78386482,3.434184472,1765.86926,22.97328667,1393.037138,-,Thermal fault 300°C-700°C,Discharges + overheating,Warning,C?H?,Overheating
70.30096121,246.9294443,7.274342492,115.8474459,55.94816734,0.496026499,7364.061706,48.47878255,602.407655,-,Thermal fault,Discharges + overheating,Warning,Carbon Dioxide (CO?),Arcing
91.72746791,1355.206648,73.26075152,230.6173171,144.1674288,3.03554391,31.90827464,3.346351407,876.2269673,-,Thermal fault,Discharges + overheating,Warning,C?H?,Arcing
83.97787728,119.0678039,25.63251634,143.8215423,42.01588193,2.005856156,4250.782284,28.44396363,207.4299839,-,Thermal fault,Discharges + overheating,Warning,-,Overheating
